"AssetID","FileName","FullPath","Extension","AssetType","VisualRole","SizeKB","Width","Height","DimensionGroup","VisualHash","VisualHashGroup","ImageMetaMethod","Sha256","Sha256Group","IsExactDuplicate","IsSameImageDifferentSize","IsSameSizeGroup","ModifiedAt","Status"
"VAP_AST_000001","HTML_EMBED_000001.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000001.ico",".ico","RASTER_IMAGE","ICON_IMAGE_LIBRARY","135.04","256","256","SIZE_256x256","3d7fffffa9ca271e","VH_3d7fffffa9ca271e","RASTER_AVERAGE_HASH_8X8","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","SHA_DUP_0016","True","False","True","2026-06-09 05:25:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000002","HTML_EMBED_000002.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000002.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","65.22","202","211","SIZE_202x211","087f172e4f452204","VH_087f172e4f452204","RASTER_AVERAGE_HASH_8X8","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","SHA_DUP_1381","True","False","True","2026-06-09 05:25:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000003","HTML_EMBED_000003.ico","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000003.ico",".ico","RASTER_IMAGE","ICON_IMAGE_LIBRARY","135.04","256","256","SIZE_256x256","3d7fffffa9ca271e","VH_3d7fffffa9ca271e","RASTER_AVERAGE_HASH_8X8","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","SHA_DUP_0016","True","False","True","2026-06-09 05:25:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000004","HTML_EMBED_000004.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000004.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","65.22","202","211","SIZE_202x211","087f172e4f452204","VH_087f172e4f452204","RASTER_AVERAGE_HASH_8X8","FCA9AB32E4EBD8A8A7977BB09FFB6652C3836ECC3ECAC9A3C7B886C3DF01A84D","SHA_DUP_1381","True","False","True","2026-06-09 05:25:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000005","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.4","40","40","SIZE_40x40","","","SVG_PARSE","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","SHA_DUP_0588","True","False","True","2026-03-23 10:59:55","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000006","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.93","40","40","SIZE_40x40","","","SVG_PARSE","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","SHA_DUP_0641","True","False","True","2026-03-23 10:59:44","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000007","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.56","40","40","SIZE_40x40","","","SVG_PARSE","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","SHA_DUP_1149","True","False","True","2026-03-23 11:06:04","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000008","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.37","40","40","SIZE_40x40","","","SVG_PARSE","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","SHA_DUP_0589","True","False","True","2026-03-23 11:05:10","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000009","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.23","40","40","SIZE_40x40","","","SVG_PARSE","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","SHA_DUP_0165","True","False","True","2026-03-23 11:05:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000010","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.59","40","40","SIZE_40x40","","","SVG_PARSE","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","SHA_DUP_0790","True","False","True","2026-03-23 11:04:15","EXACT_DUPLICATE_REVIEW"
