"ComponentID","SourceHtml","ComponentType","OutputPath","LocalIndex","Length","Sha256","VisualRole","Status"
"VAP_CMP_000001","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","STYLE_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\STYLE_BLOCK_0001_VAP_CMP_000001.css.txt","1","34431","BC6B9F4777335BF4257CF34DE34B4B76FFB2C346A61AE96F6717C4FB79E59BBC","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000002","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","SCRIPT_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\SCRIPT_BLOCK_0001_VAP_CMP_000002.js.txt","1","638552","96517BD097C7C70936C6F973B3925F947C4A7F4F844FC79A9786A6DB5B00381A","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000003","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","SVG_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\SVG_BLOCK_0001_VAP_CMP_000003.svg","1","137","39D16BB82602F45E0D5680E1E01D9DA79D0A92138D28C514F08BBB2C4BE30BBA","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000004","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","SVG_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\SVG_BLOCK_0002_VAP_CMP_000004.svg","2","171","2429D839D75ECEEBB205756DA9556898B31194696A2EBC30198C3FB85306FA3E","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000005","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","SVG_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\SVG_BLOCK_0003_VAP_CMP_000005.svg","3","236","C4C528EFB8EDEE3001425A8AF452A313D1825F3F9F29831FFB71142CB4D0E27B","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000006","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","TABLE_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\TABLE_BLOCK_0001_VAP_CMP_000006.html","1","162","E94882245EEE5B7AE733901EAF6638A412E1B26731A9224037089FE76D6A595A","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000007","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","TABLE_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\TABLE_BLOCK_0002_VAP_CMP_000007.html","2","160","92D0F1A9139DA2E6D05C2C8717FD1029B444369B0CAF68BF716022CE542656F2","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000008","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\CURRENT\DecisionStudio_Current_DecisionStudio_Registry.html","TABLE_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\TABLE_BLOCK_0003_VAP_CMP_000008.html","3","80","0BB6051AAF6B332C4DEB9AB8E166E8B5077456CAB6071E8A7D0CC14B57CCD291","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000009","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\ORIGINAL\DecisionStudio_DecisionStudio_Registry.html","STYLE_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_DecisionStudio_Registry\STYLE_BLOCK_0001_VAP_CMP_000009.css.txt","1","34431","BC6B9F4777335BF4257CF34DE34B4B76FFB2C346A61AE96F6717C4FB79E59BBC","CHART_VISUAL_SPEC","SPLIT"
"VAP_CMP_000010","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATES\ORIGINAL\DecisionStudio_DecisionStudio_Registry.html","SCRIPT_BLOCK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_DecisionStudio_Registry\SCRIPT_BLOCK_0001_VAP_CMP_000010.js.txt","1","638552","96517BD097C7C70936C6F973B3925F947C4A7F4F844FC79A9786A6DB5B00381A","CHART_VISUAL_SPEC","SPLIT"
