"ID","Role","ProjectHint","FileName","BaseName","Extension","RelativePath","FullPath","FileUri","SizeBytes","SizeKB","Sha256","ShaShort","SameSizeGroup","SameShaGroup","SameSourceGroup","GroupType","ModifiedAt","Status"
"ICON_000001","Registry / Identity","Shared","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","bookmarks_36dp_ea3323_fill0_wght400_grad0_opsz40",".svg","00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/00_registry_identity_anchor/bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","409","0.4","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","6B1C769B72B1","","","","Unique","2026-03-23 10:59:55","OK"
"ICON_000002","Registry / Identity","Shared","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","fingerprint_36dp_ea3323_fill0_wght400_grad0_opsz40",".svg","00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/00_registry_identity_anchor/fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","1979","1.93","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","77129CEFF1F4","","","","Unique","2026-03-23 10:59:44","OK"
"ICON_000003","Finance / Market","VETF","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","bid_landscape_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","573","0.56","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","D3B299E0AA7C","","","","Unique","2026-03-23 11:06:04","OK"
"ICON_000004","Finance / Market","VAP;VETF","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","candlestick_chart_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","374","0.37","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","6B2AB9F21CAF","","","","Unique","2026-03-23 11:05:10","OK"
"ICON_000005","Finance / Market","VETF","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","currency_yuan_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","233","0.23","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","1C5D0843FD2E","SIZE_233","","","Same Size","2026-03-23 11:05:22","OK"
"ICON_000006","Finance / Market","VETF","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","euro_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","604","0.59","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","8EB3717E0FE7","","","","Unique","2026-03-23 11:04:15","OK"
"ICON_000007","Finance / Market","VETF","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","finance_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","311","0.3","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","082600677BB5","","","","Unique","2026-03-23 11:05:16","OK"
"ICON_000008","Finance / Market","VETF","Market-Analysis-Icon__18773E283C.png","market-analysis-icon",".png","01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/Market-Analysis-Icon__18773E283C.png","8931","8.72","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","18773E283C0D","","","SRC_market-analysis-icon","Same Source","2026-06-08 21:09:01","OK"
"ICON_000009","Finance / Market","VETF","Market-Analysis-Icon__4E0D030A21.png","market-analysis-icon",".png","01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/Market-Analysis-Icon__4E0D030A21.png","2617","2.56","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","4E0D030A2119","","","SRC_market-analysis-icon","Same Source","2026-06-08 21:09:02","OK"
"ICON_000010","Finance / Market","VETF","Market-Analysis-Icon__5186DE0127.png","market-analysis-icon",".png","01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/Market-Analysis-Icon__5186DE0127.png","1794","1.75","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","5186DE0127DE","","","SRC_market-analysis-icon","Same Source","2026-06-08 21:09:01","OK"
"ICON_000011","Finance / Market","VETF","Market-Analysis-Icon.png","market-analysis-icon",".png","01_finance_market_trading\Market-Analysis-Icon.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon.png","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/Market-Analysis-Icon.png","4021","3.93","D51A87A911491AB6F7EDA89F70CFB7D2A4437AC28046750396E2EB51616BEBFB","D51A87A91149","","","SRC_market-analysis-icon","Same Source","2026-06-08 21:09:01","OK"
"ICON_000012","Finance / Market","VETF","oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","oil_barrel_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1038","1.01","E88C4783AC06E65B9A0A2650F99C1772E44EBEF51EA7FC1D087405FF4A742D76","E88C4783AC06","","","","Unique","2026-03-23 10:52:07","OK"
