"ID","Role","FileName","Extension","RelativePath","FullPath","SizeBytes","SizeKB","Sha256","ModifiedAt","Status"
"ICON_000001","Registry / Identity","bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\00_registry_identity_anchor\bookmarks_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","409","0.4","6B1C769B72B1CF03C827C7BF1EC595982E7F5263B761C5C9B5107E1BD4E70C4F","2026-03-23 10:59:55","OK"
"ICON_000002","Registry / Identity","fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\00_registry_identity_anchor\fingerprint_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","1979","1.93","77129CEFF1F45FB0253389CF683B418D9678B8AC4FE14B2F453B37D1A5AF8E76","2026-03-23 10:59:44","OK"
"ICON_000003","Finance / Market","bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\bid_landscape_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","573","0.56","D3B299E0AA7C55BE87AEEB6EB18AC53A1D175D9CCAA826808F27E1FAD5598BCF","2026-03-23 11:06:04","OK"
"ICON_000004","Finance / Market","candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\candlestick_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","374","0.37","6B2AB9F21CAF55733C0F61520812ACEBD045E8C3AB38A1F93CF65A901F53239E","2026-03-23 11:05:10","OK"
"ICON_000005","Finance / Market","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","233","0.23","1C5D0843FD2E96B2C3735A945F395B6F4824BCC923DB6F94FFF8B691AF0F859C","2026-03-23 11:05:22","OK"
"ICON_000006","Finance / Market","euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\euro_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","604","0.59","8EB3717E0FE7F2052A217179CD91EB34EBAE3480836D7CF221297405E24B406A","2026-03-23 11:04:15","OK"
"ICON_000007","Finance / Market","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","311","0.3","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","2026-03-23 11:05:16","OK"
"ICON_000008","Finance / Market","Market-Analysis-Icon__18773E283C.png",".png","01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","8931","8.72","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","2026-06-08 21:09:01","OK"
"ICON_000009","Finance / Market","Market-Analysis-Icon__4E0D030A21.png",".png","01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","2617","2.56","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","2026-06-08 21:09:02","OK"
"ICON_000010","Finance / Market","Market-Analysis-Icon__5186DE0127.png",".png","01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","1794","1.75","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","2026-06-08 21:09:01","OK"
"ICON_000011","Finance / Market","Market-Analysis-Icon.png",".png","01_finance_market_trading\Market-Analysis-Icon.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\Market-Analysis-Icon.png","4021","3.93","D51A87A911491AB6F7EDA89F70CFB7D2A4437AC28046750396E2EB51616BEBFB","2026-06-08 21:09:01","OK"
"ICON_000012","Finance / Market","oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1038","1.01","E88C4783AC06E65B9A0A2650F99C1772E44EBEF51EA7FC1D087405FF4A742D76","2026-03-23 10:52:07","OK"
"ICON_000013","Finance / Market","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","253","0.25","D6ABBCFAAAD5B607C0708B42C53ACF4C01969B981D262A15AF1DD2E0E451F00E","2026-03-23 11:04:40","OK"
"ICON_000014","Finance / Market","trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","254","0.25","BE7C35DC09D4714A4F7497B5A25F8F401AC023D98396EF2C8A9ECD14D1C5DB00","2026-03-23 10:48:28","OK"
"ICON_000015","Finance / Market","yfinance_asset_class_matrix_(2).svg",".svg","01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","128006","125.01","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","2026-03-22 22:37:14","OK"
