"GroupType","GroupKey","Count","Example","RecommendedAction"
"SHA256_DUPLICATE","000F9070A14881345107CA3DBB4ADB49830A4C6A03C91CBC26248B899C91CD80","12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\11_time_calendar_project\Time-Management-Icon__000F9070A1.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","0018F8E6E0D28742763CB54FEECE9AE0509B583DB8743571BC5E3816DCD0ABFB","6","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page8_img2__DUP__0018F8E6E0.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","00790A445F64806614481B181A95C88A76433196F5ABA7F8443AC64A14D580BA","4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\05_file_format_export\istockphoto-614403792-1024x1024__00790A445F.jpg","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","008E6EDB28B6DC35F667B5432642DA29637302A44CF4C87DA616079EAB895214","6","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page8_img1__DUP__008E6EDB28.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","00D20222B272A7401FC46A2DB27D1EBAE6AACAAF56CFF62C8DBB7907C79425C9","4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page18_img3__DUP__00D20222B2.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","00E236A9E0B68C04137C73EA17FD67BF29935F0483A8150E9BC0EC0AF5CF1F80","4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\apple-touch-icon__00E236A9E0.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","01D16F1F93506FA028171D67D8BF220AC4CE01DE78F0C40326C5FF3122B895D8","8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\04_vap_chart_visualization\timeline_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","01D447D6751050F91E1F0E330421EEDEB0EC0726878E045167696CD56B41C6DF","6","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page9_img3__DUP__01D447D675.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","01E608399248DA3A4D0C36BCD35693A6A49FFA0CA081123F118287FCBB656D67","12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\Seo-Tags-Icon__01E6083992.png","REVIEW_ONLY_NO_AUTO_DELETE"
"SHA256_DUPLICATE","01EE109EA8B31AFDE727350CD4E5CD3664FD78BE0C89B9A3D83BE19463A22E37","62","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\page10_img1__01EE109EA8.png","REVIEW_ONLY_NO_AUTO_DELETE"
