key,name_zh,source,id,frequency,unit,transform,panels,note,source_section,group,panels_joined
GSPC,美國標普500指數,yfinance,^GSPC,daily,指數,normalize,['①'],"主要,粗1.2",datasets,equity_indices_主要與群組,①
TWII,台灣加權股價指數,yfinance,^TWII,daily,指數,normalize,['①'],"主要,粗1.2",datasets,equity_indices_主要與群組,①
KOSPI,南韓綜合股價指數,yfinance,^KS11,daily,指數,normalize,['①'],"主要,粗1.2",datasets,equity_indices_主要與群組,①
DJI,美國道瓊工業指數,yfinance,^DJI,daily,指數,normalize,['①'],美股群,datasets,equity_indices_主要與群組,①
IXIC,美國那斯達克綜合指數,yfinance,^IXIC,daily,指數,normalize,['①'],美股群,datasets,equity_indices_主要與群組,①
SOX,費城半導體指數,yfinance,^SOX,daily,指數,normalize,['①'],美股群,datasets,equity_indices_主要與群組,①
N225,日經225指數,yfinance,^N225,daily,指數,normalize,['①'],亞股群,datasets,equity_indices_主要與群組,①
SSEC,上證綜合指數,yfinance,000001.SS,daily,指數,normalize,['①'],亞股群,datasets,equity_indices_主要與群組,①
HSI,香港恆生指數,yfinance,^HSI,daily,指數,normalize,['①'],亞股群,datasets,equity_indices_主要與群組,①
STOXX,歐洲STOXX50指數,yfinance,^STOXX50E,daily,指數,normalize,['①'],歐股群,datasets,equity_indices_主要與群組,①
XLK,資訊科技類股,yfinance,XLK,daily,美元,normalize,['②'],"起點2023-01-01,正規化2025-01-02,Plotly動態",datasets,sp500_sectors_圖2,②
XLF,金融類股,yfinance,XLF,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLV,醫療保健類股,yfinance,XLV,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLY,非必需消費類股,yfinance,XLY,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLP,必需消費類股,yfinance,XLP,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLE,能源類股,yfinance,XLE,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLI,工業類股,yfinance,XLI,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLB,原物料類股,yfinance,XLB,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLU,公用事業類股,yfinance,XLU,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLRE,房地產類股,yfinance,XLRE,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
XLC,通訊服務類股,yfinance,XLC,daily,美元,normalize,['②'],,datasets,sp500_sectors_圖2,②
BRENT,布蘭特原油期貨,yfinance,BZ=F,daily,美元/桶,raw,"['③', '⑨']",,datasets,commodities_fx,③|⑨
WTI,西德州中級原油期貨,yfinance,CL=F,daily,美元/桶,raw,"['③', '⑨']",,datasets,commodities_fx,③|⑨
GOLD,黃金期貨,yfinance,GC=F,daily,美元/盎司,raw,['⑤'],,datasets,commodities_fx,⑤
DXY,美元指數,yfinance,DX-Y.NYB,daily,指數,raw,"['③', '④', '⑤']",,datasets,commodities_fx,③|④|⑤
VIX,CBOE 波動率指數 VIX,yfinance,^VIX,daily,指數,raw,['④'],,datasets,volatility_rates,④
TNX,美國十年期公債殖利率(yfinance),yfinance,^TNX,daily,%,divide10,['④'],"^TNX=殖利率×10,需÷10",datasets,volatility_rates,④
SHY,iShares 1-3年期美國公債ETF,yfinance,SHY,daily,美元,raw,[],備用,datasets,bond_etfs,
IEI,iShares 3-7年期美國公債ETF,yfinance,IEI,daily,美元,raw,[],備用,datasets,bond_etfs,
IEF,iShares 7-10年期美國公債ETF,yfinance,IEF,daily,美元,raw,[],備用,datasets,bond_etfs,
TLT,iShares 20年期以上美國公債ETF,yfinance,TLT,daily,美元,raw,[],備用,datasets,bond_etfs,
T10Y2Y,美國10年期減2年期公債利差,fred,T10Y2Y,daily,%,raw,['⑥'],,datasets,fred_yields_spreads,⑥
T10Y3M,美國10年期減3個月公債利差,fred,T10Y3M,daily,%,raw,['⑦'],,datasets,fred_yields_spreads,⑦
DGS10,美國10年期公債殖利率,fred,DGS10,daily,%,raw,"['⑥', '⑦']",兩張利差圖皆同藍,datasets,fred_yields_spreads,⑥|⑦
DGS2,美國2年期公債殖利率,fred,DGS2,daily,%,raw,['⑥'],,datasets,fred_yields_spreads,⑥
DGS3MO,美國3個月期公債殖利率,fred,DGS3MO,daily,%,raw,['⑦'],,datasets,fred_yields_spreads,⑦
CPI,美國消費者物價指數,fred,CPIAUCSL,monthly,年增率%,yoy,['⑨'],,datasets,fred_inflation,⑨
PPI,美國生產者物價指數,fred,PPIACO,monthly,年增率%,yoy,['⑨'],,datasets,fred_inflation,⑨
PMI_MFG,美國ISM製造業採購經理人指數,fred,NAPM,monthly,指數,raw,['⑧'],"FRED NAPM 可能停更,VDF 可改 ISM 來源",datasets,fred_activity,⑧
