record_id,source_path,name,domain,file_type,exists_check,read_policy,cross_analysis_role
VIA-20260702-PATH-0001,C:\Users\tonyk\Downloads\PMIS-Lite (4),PMIS-Lite (4),PMIS_PROJECT,folder_or_no_extension,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0002,C:\Users\tonyk\Downloads\VIA_UI_FILE_READER_GAP_AUDITOR_v20260702,VIA_UI_FILE_READER_GAP_AUDITOR_v20260702,UI_PLATFORM,folder_or_no_extension,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0003,C:\Users\tonyk\Downloads\VIA_UI_MASTER_PARAMETER_LIBRARY_v20260702,VIA_UI_MASTER_PARAMETER_LIBRARY_v20260702,UI_PLATFORM,folder_or_no_extension,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0004,C:\Users\tonyk\Downloads\1743478702766.jpg,1743478702766.jpg,IMAGE_REFERENCE,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"visual reference, SAP diagram or process image input"
VIA-20260702-PATH-0005,C:\Users\tonyk\Downloads\AUTO_SSOT_Sales_Battlecard.md,AUTO_SSOT_Sales_Battlecard.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0006,C:\Users\tonyk\Downloads\BOM_Template_Blank (1).csv,BOM_Template_Blank (1).csv,SUPER_BOM,csv,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0007,C:\Users\tonyk\Downloads\BOM_Template_Blank.csv,BOM_Template_Blank.csv,SUPER_BOM,csv,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0008,C:\Users\tonyk\Downloads\BOM_Template_Sample (1).csv,BOM_Template_Sample (1).csv,SUPER_BOM,csv,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0009,C:\Users\tonyk\Downloads\BOM_Template_Sample.csv,BOM_Template_Sample.csv,SUPER_BOM,csv,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0010,C:\Users\tonyk\Downloads\fetch_mailbox.py,fetch_mailbox.py,CODE_SCRIPT,script,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,code to inspect by AST/static scan only
VIA-20260702-PATH-0011,C:\Users\tonyk\Downloads\image_thumb51.png,image_thumb51.png,IMAGE_REFERENCE,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"visual reference, SAP diagram or process image input"
VIA-20260702-PATH-0012,C:\Users\tonyk\Downloads\launcher_minimal (1).html,launcher_minimal (1).html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0013,C:\Users\tonyk\Downloads\launcher_minimal.html,launcher_minimal.html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
