"def_candidate_id","def_candidate_type","def_owner_engine","def_domain_family","def_policy_value","def_apply_to_rows","def_source_reason","def_candidate_status","def_source_mutation","def_canonical_merge","def_db_write"
"POLICY_0001","POLICY_REGISTRY_CANDIDATE","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","49","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0002","POLICY_REGISTRY_CANDIDATE","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","46","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0003","POLICY_REGISTRY_CANDIDATE","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","20","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0004","POLICY_REGISTRY_CANDIDATE","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","9","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0005","POLICY_REGISTRY_CANDIDATE","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","8","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0006","POLICY_REGISTRY_CANDIDATE","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","6","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0007","POLICY_REGISTRY_CANDIDATE","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","5","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0008","POLICY_REGISTRY_CANDIDATE","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","2","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0009","POLICY_REGISTRY_CANDIDATE","VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0010","POLICY_REGISTRY_CANDIDATE","VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0011","POLICY_REGISTRY_CANDIDATE","VRN/VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
"POLICY_0012","POLICY_REGISTRY_CANDIDATE","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","1","Promoted from safe draft YES by user confirmation.","SANDBOX_CANDIDATE_ONLY","false","false","false"
