"def_sim_id","def_source_candidate_id","def_registry_type","def_owner_engine","def_domain_family","def_policy_value","def_apply_to_rows","def_simulation_action","def_source_mutation","def_canonical_merge","def_db_write"
"SIM_POLICY_0001","POLICY_0001","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","49","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0002","POLICY_0002","SANDBOX_POLICY_REGISTRY_SIMULATION","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","46","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0003","POLICY_0003","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","20","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0004","POLICY_0004","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","9","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0005","POLICY_0005","SANDBOX_POLICY_REGISTRY_SIMULATION","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","8","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0006","POLICY_0006","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","6","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0007","POLICY_0007","SANDBOX_POLICY_REGISTRY_SIMULATION","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","5","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0008","POLICY_0008","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","2","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0009","POLICY_0009","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0010","POLICY_0010","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0011","POLICY_0011","SANDBOX_POLICY_REGISTRY_SIMULATION","VRN/VDF","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","1","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
"SIM_POLICY_0012","POLICY_0012","SANDBOX_POLICY_REGISTRY_SIMULATION","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","1","WOULD_REGISTER_POLICY_IN_SANDBOX_ONLY","false","false","false"
