"StylePackId","Count","Category","Extension","SizeHint","ColorHint","Usage"
"MATERIAL_SYMBOL_0000F5_36DP","308","01_registry_identity_anchor",".svg","36","#0000F5","Blue system UI / data / tools / general buttons."
"MATERIAL_SYMBOL_5985E1_36DP","4","05_file_format_export",".svg","36","#5985E1","Manual review or supporting icon."
"MATERIAL_SYMBOL_9DC384_36DP","4","02_finance_market_trading",".svg","36","#9DC384","Manual review or supporting icon."
"MATERIAL_SYMBOL_EA3323_36DP","70","01_registry_identity_anchor",".svg","36","#EA3323","Red risk / warning / error / crisis / hardgate."
"MATERIAL_SYMBOL_FFFF55_36DP","8","05_file_format_export",".svg","36","#FFFF55","Manual review or supporting icon."
"MISC_ICON_STYLE","411","02_finance_market_trading",".jpg","","","Manual review or supporting icon."
"PNG_MISC_STYLE_UNKNOWN_SIZE","2140","02_finance_market_trading",".png","","","Manual review or supporting icon."
"SEO_PNG_ICON_SET_128","160","02_finance_market_trading",".png","","","SEO / Business / Marketing / external UI; keep same StylePackId in same section."
"SEO_PNG_ICON_SET_256","160","02_finance_market_trading",".png","","","SEO / Business / Marketing / external UI; keep same StylePackId in same section."
"SEO_PNG_ICON_SET_48","160","02_finance_market_trading",".png","48","","SEO / Business / Marketing / external UI; keep same StylePackId in same section."
"SEO_PNG_ICON_SET_72","160","02_finance_market_trading",".png","","","SEO / Business / Marketing / external UI; keep same StylePackId in same section."
"VAP_CHART_TYPE_SVG_LIBRARY","222","04_vap_chart_visualization",".svg","","","VAP chart selector / visualization grammar / chart type library."
