id,domain,category,item,granularity,source,code,source_light,freq,completeness,light
DET-001,就業,CES 機構調查,非農 NFP 總,total,BLS/FRED,PAYEMS,green,M,have,g
DET-002,就業,CES 機構調查,民間/政府,goods/services/gov,FRED,USPRIV/USGOVT,green,M,have,g
DET-003,就業,CES 機構調查,製造業就業,manufacturing,FRED,MANEMP,green,M,have,g
DET-004,就業,CES 機構調查,平均時薪/工時,AHE / AWH,FRED,CES0500000003 / AWHAETP,green,M,have,g
DET-005,就業,CPS 家庭調查,失業率 U3,headline,FRED,UNRATE,green,M,have,g
DET-006,就業,CPS 家庭調查,U1–U6 全口徑,U1/U2/U4/U5/U6,FRED,U1RATE/U2RATE/U4RATE/U5RATE/U6RATE,green,M,have,g
DET-007,就業,失業時長 DURATION,<5週,level / share,FRED,UEMPLT5,green,M,have,g
DET-008,就業,失業時長 DURATION,5–14週,level,FRED,UEMP5TO14,green,M,have,g
DET-009,就業,失業時長 DURATION,15–26週,level,FRED,UEMP15T26,green,M,have,g
DET-010,就業,失業時長 DURATION,27週以上(長期失業),level / share%,FRED,UEMP27OV / LNS13025703,green,M,have,g
DET-011,就業,失業時長 DURATION,平均失業週數,mean weeks,FRED,UEMPMEAN,green,M,have,g
DET-012,就業,失業時長 DURATION,中位失業週數,median weeks,FRED,UEMPMED,green,M,have,g
DET-013,就業,勞動參與,參與率 LFPR / 就業人口比,rate,FRED,CIVPART / EMRATIO,green,M,have,g
DET-014,就業,JOLTS,職缺/雇用/離職/裁員,openings/hires/quits/layoffs,FRED,JTSJOL/JTSHIL/JTSQUL/JTSLDL,green,M,have,g
DET-015,就業,JOLTS,離職率 quit rate,rate,FRED,JTSQUR,green,M,have,g
DET-016,就業,ADP 民間薪資,總/分業/分規模,total/sector/size,ADP NER,ADPMNUSNERSA,green,M,partial,g
DET-017,就業,初領/續領,初領/續領失業金,weekly,FRED/DOL,ICSA / CCSA,green,W,have,g
DET-018,就業,Challenger,企業裁員公告,monthly cuts,Challenger Gray,—,amber,M,need,y
DET-019,PMI,ISM 製造分項,新訂單/生產/就業,NewOrders/Prod/Emp,ISM/akshare,ism_*,teal,M,partial,c
DET-020,PMI,ISM 製造分項,供應商交貨/存貨,SupplierDeliveries/Invent,ISM,—,amber,M,need,y
DET-021,PMI,ISM 製造分項,價格/在手訂單,Prices/Backlog,ISM,—,amber,M,need,y
DET-022,PMI,ISM 製造分項,新出口/進口,NewExport/Imports,ISM,—,amber,M,need,y
DET-023,PMI,ISM 非製造分項,商業活動/新訂單/就業,BizActivity/Orders/Emp,ISM,—,amber,M,need,y
DET-024,PMI,ISM 非製造分項,供應商/存貨/價格,Deliveries/Invent/Prices,ISM,—,amber,M,need,y
DET-025,PMI,S&P Global,製造/服務/綜合(flash+final),Mfg/Svc/Comp,S&P Global,—,amber,M,need,y
DET-026,PMI,地區聯儲,Empire State / Philly Fed,regional,FRED,GACDISA066MSFRBNY / GACDFSA066MSFRBPHIL,green,M,partial,g
DET-027,PMI,地區聯儲,Richmond/Dallas/KC/Chicago,regional,FRED/ISM,—,amber,M,need,y
DET-028,通膨,CPI 分項,食物/能源,Food/Energy,FRED,CPIUFDSL / CPIENGSL,green,M,have,g
DET-029,通膨,CPI 分項,住房/租金/OER,Shelter/Rent/OER,FRED,CUSR0000SAH1 / CUSR0000SEHA / CUSR0000SEHC,green,M,have,g
DET-030,通膨,CPI 分項,核心商品/核心服務,CoreGoods/CoreSvc,FRED,CUSR0000SACL1E / CUSR0000SASLE,green,M,have,g
DET-031,通膨,CPI 分項,運輸/二手車,Transport/UsedCars,FRED,CPITRNSL / CUSR0000SETA02,green,M,have,g
DET-032,通膨,CPI 替代量度,Sticky / Trimmed / Median,Atlanta/Cleveland,FRED,STICKCPIM159SFRBATL / MEDCPIM158SFRBCLE / TRMMEANCPIM158SFRBCLE,green,M,have,g
DET-033,通膨,Supercore,服務 ex-住房能源,supercore,FRED/計算,—,amber,M,partial,y
DET-034,通膨,PPI 分項,最終需求 商品/服務,FinalDemand G/S,FRED,WPSFD49207 / WPSFD4131,green,M,have,g
DET-035,通膨,PPI 分項,核心PPI / ex食能貿,core / ex-fet,FRED,WPSFD4131 / WPSFD49116,green,M,have,g
