row_no,family,symbol,date,value,source,source_file,source_file_name,symbol_col,date_col,value_col,source_col,canonical_key,is_valid,invalid_reasons,record_hash
123,VDF_Global_Commodity,COMMODITY_FUTURES,2026-06-10,3.0,57eb5cd28b5ac54e,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\preview\VDF_AkShare_CanonicalRepairedPreview_v02781.csv,VDF_AkShare_CanonicalRepairedPreview_v02781.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|COMMODITY_FUTURES|2026-06-10|57eb5cd28b5ac54e,True,,98ee6e235c20a3a8
123,VDF_Global_Commodity,COMMODITY_FUTURES,2026-06-10,3.0,57eb5cd28b5ac54e,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\preview\VDF_AkShare_CanonicalRepairedPreview_v02781.json,VDF_AkShare_CanonicalRepairedPreview_v02781.json,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|COMMODITY_FUTURES|2026-06-10|57eb5cd28b5ac54e,True,,98ee6e235c20a3a8
1,VDF_Global_Commodity,STEEL,2026-02-11,2026.0,c40c2417ebcd7bbd,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-11|c40c2417ebcd7bbd,True,,37c77c1c05a56833
2,VDF_Global_Commodity,STEEL,2026-02-12,2026.0,3b448f17b94509de,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-12|3b448f17b94509de,True,,d39fcd211e7d87a7
3,VDF_Global_Commodity,STEEL,2026-02-13,2026.0,8684c9acc94b1000,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-13|8684c9acc94b1000,True,,bcd34aae50fed15a
4,VDF_Global_Commodity,STEEL,2026-02-14,2026.0,09f777d25015dc7d,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-14|09f777d25015dc7d,True,,c435b7291207752c
5,VDF_Global_Commodity,STEEL,2026-02-15,2026.0,ca18e72573fe5a0f,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-15|ca18e72573fe5a0f,True,,1a315716c1dda1bf
6,VDF_Global_Commodity,STEEL,2026-02-16,2026.0,0dcea352e5f26e04,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-16|0dcea352e5f26e04,True,,6d5d41a303cf0ab1
7,VDF_Global_Commodity,STEEL,2026-02-17,2026.0,5d472fb1b3e9abab,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-17|5d472fb1b3e9abab,True,,b90dabe2eb171773
8,VDF_Global_Commodity,STEEL,2026-02-18,2026.0,535bf7b6e3430232,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.csv,VDF_AkShare_SmartRepairedPreview_v027811.csv,symbol,date,value,vdf_original_row_hash,VDF_Global_Commodity|STEEL|2026-02-18|535bf7b6e3430232,True,,0cdfdb23728b79d1
