"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","HOTFIX","ENGINE","PowerShell dynamic property issue","OK_HOTFIX_APPLIED","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","engine","python","Replaced fragile PowerShell dynamic row builder with Python pandas engine.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 22:07:05","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 22:10:05","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 22:03:58","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 22:15:01","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 14:56:43","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643"
"Round1","DISCOVERY","UPSTREAM_ROOT","VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","modified","2026-06-10 15:08:53","Upstream artifact root discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853"
"Round1","DISCOVERY","INPUT_FILES","Candidate/Profile Files","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","file_count","25","Candidate/profile files discovered.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_InputInventory_Hotfix_v0278121.csv"
"Round2","PROFILE_CONTRACT","PYTHON_ENGINE","vdf_akshare_raw_column_profile_contract_hotfix_v0278121.py","OK_SCRIPT_CREATED","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","engine","python","Python profiling engine written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\runtime\vdf_akshare_raw_column_profile_contract_hotfix_v0278121.py"
"Round2","PROFILE_CONTRACT","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T00:19:16.301969"", ""status"": ""VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_READY_WITH_REVIEW"", ""risk"": ""MEDIUM"", ""metrics"": {""input_files"": 25, ""profile_columns"": 253, ""selection_files"": 25, ""preview_rows"": 1570, ""valid_rows"": 245, ""invalid_after_contract"": 1325, ""duplicate_after_contract"": 244}, ""recommendation"": ""ALLOW_V02782_CONTRACT_BASED_SMART_REPAIRED_DRYRUN_NO_DB_WRITE"", ""artifacts"": {""profile_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.csv"", ""profile_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.json"", ""selection_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.csv"", ""selection_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.json"", ""preview_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\preview\\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.csv"", ""preview_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\preview\\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.json"", ""invalid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\preview\\VDF_AkShare_CanonicalContractInvalidRows_Hotfix_v0278121.csv"", ""duplicate_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\preview\\VDF_AkShare_CanonicalContractDuplicateRows_Hotfix_v0278121.csv"", ""rootcause_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_CanonicalContractRootCause_Hotfix_v0278121.csv"", ""rootcause_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\registry\\VDF_AkShare_CanonicalContractRootCause_Hotfix_v0278121.json"", ""contract_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\plan\\VDF_AkShare_CanonicalKeyContract_Hotfix_v0278121.json"", ""remap_plan_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\\plan\\VDF_AkShare_RemapPatchPlan_Hotfix_v0278121.json""}, ""next_step"": ""v027.8.2 contract-based smart-repaired dry-run only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\runtime\vdf_akshare_raw_column_profile_contract_hotfix_v0278121.py"
"Round2","PROFILE_CONTRACT","RAW_PROFILE","Raw Column Profile","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","profile_columns","253","Raw column profile generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.csv"
"Round2","PROFILE_CONTRACT","SELECTION","Raw Column Selection","OK","LOW","PARALLEL_SAFE","P0","HOTFIX_PROFILE_CONTRACT_ONLY","selection_files","25","Raw column selection generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.csv"
"Round2","PROFILE_CONTRACT","PREVIEW","Canonical Contract Preview","OK_PREVIEW_CREATED","LOW","SEQUENTIAL_GATED","P0","HOTFIX_PROFILE_CONTRACT_ONLY","preview_rows","1570","Canonical contract preview generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.csv"
"Round2","PROFILE_CONTRACT","INVALID_ROWS","Invalid Rows","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_GATED","P0","HOTFIX_PROFILE_CONTRACT_ONLY","invalid_after_contract","1325","Invalid rows remain; review value/date mapping.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractInvalidRows_Hotfix_v0278121.csv"
"Round2","PROFILE_CONTRACT","DUPLICATE_ROWS","Duplicate Rows","WARN_DEDUP_REQUIRED","MEDIUM","SEQUENTIAL_GATED","P0","HOTFIX_PROFILE_CONTRACT_ONLY","duplicate_after_contract","244","Duplicate rows remain; dedup gate required.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractDuplicateRows_Hotfix_v0278121.csv"
