"def_priority","def_action","def_domain","def_is_noise","def_severity","def_normalized_key","def_canonical_key","def_occurrences","def_distinct_values","def_groups","def_projects","def_sample_values","def_sample_files"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","103_toolname","103_toolname","5","3","DATA_SOURCE;GENERAL;VISUAL_LOCK","UNKNOWN","VIS_VRN_TWOfficialYFinance_v06051.cpython-313 || Invoke-VRN-Guarded-Entry-v217 || VIS_VRN_FinancialSSOT_v05910.py.freeze.lock","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","11_usecase","11_usecase","3","2","DATA_SOURCE;GENERAL","UNKNOWN","VDF / market data / local cache || Profiling, API load, bundle size, worker acceleration","04_ToolMatrix_Top15.json; NEXUSCORE_TOP10_LOCAL_FREE_LIBS_MATRIX.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","125_toolname","125_toolname","5","3","DATA_SOURCE;VISUAL_LOCK","UNKNOWN","VIS_VRN_HistoricalValidationPolicy_v0100.py.freeze.lock || VIS_VRN_TWOfficialYFinance_v06051.cpython-313 || VIS_VRN_TableGeometryReconstructor_v0101.py.freeze.lock","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","130_toolname","130_toolname","5","3","DATA_SOURCE;VERSION_RELEASE","UNKNOWN","VIS_VRN_Q1_AliasRoutePatch_v0100 || VIS_VRN_BrokerAnalystAdapters_v06146 || VIS_VRN_TWOfficialYFinance_v06051","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","131_toolname","131_toolname","5","3","DATA_SOURCE;VISUAL_LOCK","UNKNOWN","VIS_VRN_Q1_AliasRoutePatch_v0100.py.freeze.lock || VIS_VRN_BrokerAnalystAdapters_v06146.py.freeze.lock || VIS_VRN_TWOfficialYFinance_v06051.py.freeze.lock","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","140_toolname","140_toolname","5","3","DATA_SOURCE;MARKET_UNIVERSE;VERSION_RELEASE","UNKNOWN","VIS_VRN_TWOfficialYFinance_v06051 || VIS_VRN_FinancialSSOT_v0599 || VETF_VIS_VRN_FinancialSSOT_v0608.cpython-313","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","141_toolname","141_toolname","5","3","DATA_SOURCE;MARKET_UNIVERSE;VISUAL_LOCK","UNKNOWN","VIS_VRN_TWOfficialYFinance_v06051.py.freeze.lock || VIS_VRN_FinancialSSOT_v0599.py.freeze.lock || VETF_VIS_VRN_HistoricalValidationPolicy_v0100.cpython-313","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","162_toolname","162_toolname","5","3","DATA_SOURCE;MARKET_UNIVERSE","UNKNOWN","VETF_VIA_Supportive_Runtime_HardGate_Bridge || VIS_VRN_TWOfficialYFinance_v06051 || VETF_VIS_VRN_HistoricalValidationPolicy_v0100","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","163_toolname","163_toolname","5","3","DATA_SOURCE;MARKET_UNIVERSE","UNKNOWN","VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock || VIS_VRN_TWOfficialYFinance_v06051.py.freeze.lock || VETF_VIS_VRN_HistoricalValidationPolicy_v0100.py.freeze.lock","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","2_usecase","2_usecase","3","2","DATA_SOURCE;GOVERNANCE_POLICY","UNKNOWN","SSOT registry, parquet/csv/json, validation || Build speed, monorepo speed, worker threading, API speed","04_ToolMatrix_Top15.json; NEXUSCORE_TOP10_LOCAL_FREE_LIBS_MATRIX.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","93_toolname","93_toolname","5","3","DATA_SOURCE;GENERAL;VERSION_RELEASE","UNKNOWN","VIS_VRN_FinancialSSOT_v05912.cpython-313 || VeritasCeleritas || VIS_VRN_TWOfficialYFinance_v06051.cpython-313","NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","HIGH","argparse_add_argument","argparse_add_argument","20","19","DATA_SOURCE;GENERAL;PATH_IO;SCHEMA_FIELD;VISUAL_LOCK","VIA;VPF","""--universe"", choices=[""themed"", ""market""], default=None || ""--start"", dest=""start_date"", default=None || ""--end"", dest=""end_date"", default=None || ""--n-streak"", type=int, default=None || ""--validate"", action=""store_true"" || ""--probe-urls"",action=""store_true"" || ""--out"",default=""tw_universe.json"" || ""--real""","VIA_Inject.py; VIA_TW_Universe_Builder.py; VPF_MDL006_個股訊號 (2).py"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","HIGH","canonical","canonical","73","73","DATA_SOURCE;GENERAL;MACRO_SENTIMENT;VISUAL_LOCK","VIA","Macquarie || Goldman Sachs || Morgan Stanley || J.P. Morgan || HuaNan || Strong Buy || Buy || Hold","VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","HIGH","data","data","24","11","DATA_SOURCE;GENERAL;MARKET_UNIVERSE;SCHEMA_FIELD","VIA","[{type:'bar',x:days,y:vol,marker:{color:up.map(u=>u?C.up:C.dn),opacity:0.45},yaxis:'y2'}, || [{type:'scatter',mode:'lines',x:days,y:lineA.map(v=>v/lineA[0]*100),line:{color:C.bl,width:swWidth}}, || [{type:'bar',x:days,y:price.map(v=>v-100),marker:{color:price.map((v,i)=>i&&v>=price[i-1]?C.up:C.dn),opacity:swOpacity}}]; || [{type:'bar',x:days,y:lineA.map(v=>v/40),marker:{color:C.bl,opacity:swOpacity}}, || [{type:'bar',orientation:'h',y:rows.map(r=>r.label),x:rows.map(r=>r.val), || [{type:'heatmap',z,colorscale:[[0,C.dn],[0.5,'#f5f4f0'],[1,C.up]],showscale:false}];lay.margin={l:36,r:10,t:8,b:24}; || {""meta"":{""title"":""主動式 ETF 績效與資金流排行"",""subtitle"":""Active ETF Performance & Fund-Flow Ranking"",""source"":""VDF · TWSE/TPEx 日 ADJ CLOSE + 投信申贖淨流 (SAMPLE)"",""generated"":""2026-06-02"",""dates"":[""2025-06-12""...","VIA_AutoPlot_Console (1).html; VIA_AutoPlot_Console (2).html; VIA_AutoPlot_Console (3).html; VIA_ETF_Performance_Ranking.html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","description","description","4","3","DATA_SOURCE;GENERAL;MARKET_UNIVERSE","UNKNOWN;VDF;VIA","VERITAS DATA FRAMEWORK · 擷取項目登錄表 Schema v1.0 · SSOT for 'what to fetch'. Each item describes ONE conceptual indicator and its multi-source fetch routing, cross-validation rules, transforms, and downstream consumption. || Three types of Taiwan stock tickers and their cross-format relationship are fixed. These are the only immutable ||","Invoke-NexusCore-ExternalBridge.ps1; VDF_MDL401_RegistrySchema (1).json; VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","HIGH","function_get","function_get","12","6","DATA_SOURCE;GENERAL","UNKNOWN;VIA","cls, key, default=None || self, url: str, **kw || self, key, default=None || futures || url, headers=None, timeout=30, verify=True, **kw || self, url, **kw","VIA_SSOT_Unified.py; VeritasAegisNexus.py; VeritasCeleritas.py"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","HIGH","function_init","function_init","94","39","DATA_SOURCE;ENGINE;GENERAL;MARKET_UNIVERSE;PATH_IO;VISUAL_LOCK","UNKNOWN;VDF;VIA;VPF","self, config: dict || self, config: dict = None || self || self, api_key: str = FACTSET_API_KEY, username: str = FACTSET_USERNAME || self, base: Path, projects: List[str], dry_run: bool = False || self, seal_path, provenance_path=None, strict=True || self, name: str || self, max_failures: int = 3","VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL005_TWStockFilter (1).py; VETF_VIA_RuntimeImportFirewall.py; VIA_RuntimeImportFirewall.py; VPF_MDL005_族群輪動.py; VPF_MDL006_個股訊號 (2).py; VeritasAegisNexus.py; VeritasCeleritas.py; via_structure_forge.py"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","function_post","function_post","3","3","DATA_SOURCE","UNKNOWN","self, url: str, **kw || url, data=None, json=None, headers=None, timeout=30, **kw || self, url, **kw","VeritasAegisNexus.py; VeritasCeleritas.py"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","items_10_sources_0_fetcher","items_10_sources_0_fetcher","2","2","DATA_SOURCE","VDF","VDF_MDL003.AKShareFetcher._fetch_one || VDF_MDL003.FREDFetcher._fetch_one","VDF_MDL402_RegistrySample.json; VDF_MDL403_RegistryFull.json"
"P0","DOMAIN_REVIEW_REQUIRED","DATA_SOURCE","False","MEDIUM","items_10_sources_0_name","items_10_sources_0_name","2","2","DATA_SOURCE","VDF","akshare || FRED","VDF_MDL402_RegistrySample.json; VDF_MDL403_RegistryFull.json"
