"def_id","def_accelerator","def_use","def_status"
"PSA01","LatestRunResolver","自動抓最新 consolidation RUN，不手動找路徑","ENABLED"
"PSA02","TestPathBatchCache","一次檢查工具檔存在性，降低重複 I/O","ENABLED"
"PSA03","ReadOnlySourcePolicy","只讀來源，不改原始 PS1/PY/JSON/HTML","ENABLED"
"PSA04","ProgressHeartbeat","每步動態進度條與 log，避免以為卡住","ENABLED"
"PSA05","RunDirectoryIsolation","每次輸出獨立 RUN，不互相覆蓋","ENABLED"
"PSA06","CsvBatchImport","前輪 77,201 parameters 直接批次匯入","ENABLED"
"PSA07","NoiseKeyTriage","過濾 import/css/html/path heading 假衝突","ENABLED"
"PSA08","CanonicalAliasMap","base_dir/root/output_dir/htmlpath 等同義鍵統一","ENABLED"
"PSA09","DomainPriorityScoring","優先保留 DATA_SOURCE/MARKET/SCHEMA/ENGINE/GOVERNANCE","ENABLED"
"PSA10","Sha12Fingerprint","工具與來源檔案產生 SHA12 追蹤","ENABLED"
"PSA11","FiveFlowMatrix","五條獨立流程狀態化，便於收尾","ENABLED"
"PSA12","UnfinishedFlowCarryForward","未完成 NexusCore/Polyglot/EngineForge 流程納入一表","ENABLED"
"PSA13","SingleInterfaceTabs","HTML 一頁式分頁、矩陣、搜尋定位","ENABLED"
"PSA14","ActivePointerSeal","固定 pointer 指向最新結果","ENABLED"
"PSA15","OptionalChildTimeoutGate","預留子腳本 Timeout gate；預設關閉以免修壞","LOCKED_SAFE"
