def_path,def_exists,def_file_name,def_ext,def_project,def_file_role,def_size_bytes,def_sha12,def_status,def_encoding,def_error,def_param_count,def_json_valid,def_json_error,def_csv_valid,def_csv_error,def_columns
C:\Users\tonyk\Downloads\VPF_MDL006_個股訊號 (2).py,True,VPF_MDL006_個股訊號 (2).py,.py,VPF,ENGINE_MODULE,40700,324e8a0bb23c,OK,utf-8-sig,,56,,,,,
C:\Users\tonyk\Downloads\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json,True,VIA_SafePolyglotOptimizer_v0102_StaticValidation.json,.json,VIA,SOURCE,864,883ea4839251,OK,utf-8-sig,,18,True,,,,
C:\Users\tonyk\Downloads\VIA_SafePolyglotOptimizer_v0102_README.md,True,VIA_SafePolyglotOptimizer_v0102_README.md,.md,VIA,SOURCE,2023,5d32588c39e0,OK,utf-8-sig,,11,,,,,
C:\Users\tonyk\Downloads\sap_mm_intake_prompt.md,True,sap_mm_intake_prompt.md,.md,UNKNOWN,SOURCE,3128,2f248cd76a34,OK,utf-8-sig,,7,,,,,
C:\Users\tonyk\Downloads\macro_indicator_registry (1).json,True,macro_indicator_registry (1).json,.json,UNKNOWN,REGISTRY,39770,bb808eec1b61,OK,utf-8-sig,,1519,True,,,,
C:\Users\tonyk\Downloads\Veritas_EngineForge_Methodology_v2.docx,True,Veritas_EngineForge_Methodology_v2.docx,.docx,VEF,ENGINE_MODULE,21835,b2f19e91e95a,OK,docx_zip_xml,,93,,,,,
C:\Users\tonyk\Downloads\VEF.docx,True,VEF.docx,.docx,VEF,METHODOLOGY,167441,7174ea59cd6e,OK,docx_zip_xml,,128,,,,,
C:\Users\tonyk\Downloads\VIA_EngineForge_Config.v062.template.json,True,VIA_EngineForge_Config.v062.template.json,.json,VEF,CONFIG_TEMPLATE,1514,1c19f1b288ad,OK,utf-8-sig,,32,True,,,,
C:\Users\tonyk\Downloads\VIA_EngineForge_Config.template.json,True,VIA_EngineForge_Config.template.json,.json,VEF,CONFIG_TEMPLATE,1379,b14ba6667bae,OK,utf-8-sig,,28,True,,,,
C:\Users\tonyk\Downloads\VRN_S05_FieldRegistry_v0102.md,True,VRN_S05_FieldRegistry_v0102.md,.md,VRN,REGISTRY,44843,d27d160ee5f9,OK,utf-8-sig,,104,,,,,
C:\Users\tonyk\Downloads\VRN_S05_FieldRegistry_v0102.json,True,VRN_S05_FieldRegistry_v0102.json,.json,VRN,REGISTRY,207924,b87ff42ff88e,OK,utf-8-sig,,4008,True,,,,
C:\Users\tonyk\Downloads\VRN_BROKER_LIST_v01.json,True,VRN_BROKER_LIST_v01.json,.json,VRN,SOURCE,9438,ccb658f30cd3,OK,utf-8-sig,,285,True,,,,
C:\Users\tonyk\Downloads\VRN_S05_FieldRegistry_v0101_Matrix.md,True,VRN_S05_FieldRegistry_v0101_Matrix.md,.md,VRN,REGISTRY,14595,c461732220ed,OK,utf-8-sig,,17,,,,,
C:\Users\tonyk\Downloads\VRN_S05_FieldRegistry_v0101.json,True,VRN_S05_FieldRegistry_v0101.json,.json,VRN,REGISTRY,248154,29fe0cf35d10,OK,utf-8-sig,,5235,True,,,,
C:\Users\tonyk\Downloads\VHS_LockRegistry (2).json,True,VHS_LockRegistry (2).json,.json,VHS,REGISTRY,610,cf56014e329f,OK,utf-8-sig,,21,True,,,,
C:\Users\tonyk\Downloads\vhs_extract.js,True,vhs_extract.js,.js,VHS,SOURCE,10250,2ee2ddf2d0b9,OK,utf-8-sig,,18,,,,,
C:\Users\tonyk\Downloads\VHS_LockRegistry (1).json,True,VHS_LockRegistry (1).json,.json,VHS,REGISTRY,610,cf56014e329f,OK,utf-8-sig,,21,True,,,,
C:\Users\tonyk\Downloads\VHS_LockRegistry.json,True,VHS_LockRegistry.json,.json,VHS,REGISTRY,610,cf56014e329f,OK,utf-8-sig,,21,True,,,,
C:\Users\tonyk\Downloads\e2e_usertest.js,True,e2e_usertest.js,.js,UNKNOWN,TEST_VALIDATION,8713,b875b37f26a9,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\ps_lint.py,True,ps_lint.py,.py,UNKNOWN,TEST_VALIDATION,5897,00a3c7cd9b88,OK,utf-8-sig,,6,,,,,
C:\Users\tonyk\Downloads\ui_harness.js,True,ui_harness.js,.js,UNKNOWN,UI_VISUAL,9301,b2694eed4ae5,OK,utf-8-sig,,6,,,,,
C:\Users\tonyk\Downloads\VDF_MDL404_CoverageReport.json,True,VDF_MDL404_CoverageReport.json,.json,VDF,ENGINE_MODULE,8929,e91121cf5ee2,OK,utf-8-sig,,288,True,,,,
C:\Users\tonyk\Downloads\VDF_MDL401_RegistrySchema (1).json,True,VDF_MDL401_RegistrySchema (1).json,.json,VDF,REGISTRY,10390,fffc87e8c61a,OK,utf-8-sig,,248,True,,,,
C:\Users\tonyk\Downloads\VDF_MDL402_RegistrySample.json,True,VDF_MDL402_RegistrySample.json,.json,VDF,REGISTRY,18582,49a5bb5914c0,OK,utf-8-sig,,475,True,,,,
