"Time","Round","System","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T14:35:18.139+08:00","Round0","VIA","POLICY","Read Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","write","false","No repair, no rerun, no source modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518"
"2026-06-15T14:35:18.140+08:00","Round0","VIA","POLICY","No Canonical Write","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","Inspector only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518"
"2026-06-15T14:35:18.141+08:00","Round0","VIA","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518"
"2026-06-15T14:35:18.146+08:00","Round1","NEXUS","ENTRY","Read_Me_VeritasNexusCore.md","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"2026-06-15T14:35:18.149+08:00","Round1","NEXUS","ENTRY","Invoke-VeritasNexusCore.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-15T14:35:18.152+08:00","Round1","NEXUS","ENTRY","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","ssot_terms","true","File found and scanned for SSOT/pointer/manifest terms.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"2026-06-15T14:36:18.947+08:00","Round1","VIA","DISCOVERY","SSOT/Pointer/Manifest JSON","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","327","JSON control-plane candidates found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:36:18.949+08:00","Round1","VIA","DISCOVERY","Active Pointer Candidates","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","95","Active/stage pointer candidates found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:36:18.950+08:00","Round1","VIA","DISCOVERY","Runtime Files","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","56","Runtime records found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:36:18.952+08:00","Round1","VIA","DISCOVERY","Seal Files","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","143","Seal/final records found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
