"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T15:18:28.948+08:00","Round0","POLICY","No Extraction Rerun","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","rerun","false","Use active pointer and existing parquet only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828"
"2026-06-15T15:18:28.949+08:00","Round0","POLICY","No Canonical Promotion","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","Output store only; canonical remains blocked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828"
"2026-06-15T15:18:28.949+08:00","Round0","POLICY","JSON Dataflow","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","control_plane","json","JSON stores manifest/runtime/dataflow only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828\runtime"
"2026-06-15T15:18:28.950+08:00","Round0","POLICY","Parquet Truth Source","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","payload","parquet","StockReport parquet files are truth source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T15:18:28.951+08:00","Round0","POLICY","DuckDB Serving Layer","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","duckdb","True","DuckDB is rebuildable serving layer.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T15:18:28.954+08:00","Round1","INPUT","VRN_ACTIVE_STAGE_POINTER.json","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Active pointer found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\VRN_ACTIVE_STAGE_POINTER.json"
"2026-06-15T15:18:30.867+08:00","Round1","ENGINE","Python Stack","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","deps","pandas/pyarrow/duckdb","Python stack verified.","C:\Python313\python.exe"
"2026-06-15T15:18:30.872+08:00","Round1","EXTRA_SSOT","VIS_VRN_TickerFilenameSSOT_v0100.py","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\Downloads\VIS_VRN_TickerFilenameSSOT_v0100.py"
"2026-06-15T15:18:30.874+08:00","Round1","EXTRA_SSOT","VRN_FINANCIAL_TRUST_POLISH_V044.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\Downloads\VRN_FINANCIAL_TRUST_POLISH_V044.ps1"
"2026-06-15T15:18:30.875+08:00","Round1","EXTRA_SSOT","VRN_Incremental_StockReport_DB_AIO_v1.0.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\Downloads\VRN_Incremental_StockReport_DB_AIO_v1.0.ps1"
