"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T14:39:18.807+08:00","Round0","POLICY","No Extraction Rerun","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","rerun","false","SSOT builder only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_UNIFIED_SSOT_BUILDER_v029SSOT1B_20260615_143918"
"2026-06-15T14:39:18.808+08:00","Round0","POLICY","No Canonical Promotion","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","No canonical promotion.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_UNIFIED_SSOT_BUILDER_v029SSOT1B_20260615_143918"
"2026-06-15T14:39:18.809+08:00","Round0","POLICY","Parquet SSOT","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","main_format","parquet","Parquet is SSOT data format.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_UNIFIED_SSOT_BUILDER_v029SSOT1B_20260615_143918\parquet"
"2026-06-15T14:39:18.809+08:00","Round0","POLICY","JSON Control Plane","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","control_format","json","JSON for manifest/runtime/schema.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_UNIFIED_SSOT_BUILDER_v029SSOT1B_20260615_143918\json"
"2026-06-15T14:39:18.811+08:00","Round0","POLICY","Pointer Promotion","OK_CANDIDATE_ONLY","LOW","SEQUENTIAL_GATED","P0","promote","False","Default is candidate pointer only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT"
"2026-06-15T14:39:18.823+08:00","Round1","INPUT","supportive modules","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules"
"2026-06-15T14:39:18.825+08:00","Round1","INPUT","supportive_module","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module"
"2026-06-15T14:39:18.826+08:00","Round1","INPUT","Read_Me_VeritasNexusCore.md","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"2026-06-15T14:39:18.826+08:00","Round1","INPUT","Invoke-VeritasNexusCore.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-15T14:39:18.827+08:00","Round1","INPUT","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"2026-06-15T14:39:18.827+08:00","Round1","INPUT","VIA_UnifiedInput_SSOT.json","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input path found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json"
