ticker,name,market,industry,isin,security_type,listed_date,status
00400A,主動國泰動能高息,TWSE,,,LISTED,,ACTIVE_SEED
00401A,主動摩根台灣鑫收,TWSE,,,LISTED,,ACTIVE_SEED
00403A,主動統一升級50,TWSE,,,LISTED,,ACTIVE_SEED
0050,元大台灣50,TWSE,,,LISTED,,ACTIVE_SEED
0051,元大中型100,TWSE,,,LISTED,,ACTIVE_SEED
0052,富邦科技,TWSE,,,LISTED,,ACTIVE_SEED
0053,元大電子,TWSE,,,LISTED,,ACTIVE_SEED
0055,元大MSCI金融,TWSE,,,LISTED,,ACTIVE_SEED
0056,元大高股息,TWSE,,,LISTED,,ACTIVE_SEED
0057,富邦摩台,TWSE,,,LISTED,,ACTIVE_SEED
0061,元大寶滬深,TWSE,,,LISTED,,ACTIVE_SEED
006203,元大MSCI台灣,TWSE,,,LISTED,,ACTIVE_SEED
006204,永豐臺灣加權,TWSE,,,LISTED,,ACTIVE_SEED
006205,富邦上証,TWSE,,,LISTED,,ACTIVE_SEED
006206,元大上證50,TWSE,,,LISTED,,ACTIVE_SEED
006207,復華滬深,TWSE,,,LISTED,,ACTIVE_SEED
006208,富邦台50,TWSE,,,LISTED,,ACTIVE_SEED
00625K,富邦上証+R,TWSE,,,LISTED,,ACTIVE_SEED
00631L,元大台灣50正2,TWSE,,,LISTED,,ACTIVE_SEED
00632R,元大台灣50反1,TWSE,,,LISTED,,ACTIVE_SEED
00633L,富邦上証正2,TWSE,,,LISTED,,ACTIVE_SEED
00634R,富邦上証反1,TWSE,,,LISTED,,ACTIVE_SEED
00635U,期元大S&P黃金,TWSE,,,LISTED,,ACTIVE_SEED
00636,國泰中國A50,TWSE,,,LISTED,,ACTIVE_SEED
00636K,國泰中國A50+U,TWSE,,,LISTED,,ACTIVE_SEED
00637L,元大滬深300正2,TWSE,,,LISTED,,ACTIVE_SEED
00638R,元大滬深300反1,TWSE,,,LISTED,,ACTIVE_SEED
00639,富邦深100,TWSE,,,LISTED,,ACTIVE_SEED
00640L,富邦日本正2,TWSE,,,LISTED,,ACTIVE_SEED
00641R,富邦日本反1,TWSE,,,LISTED,,ACTIVE_SEED
00642U,期元大S&P石油,TWSE,,,LISTED,,ACTIVE_SEED
00643,群益深証中小,TWSE,,,LISTED,,ACTIVE_SEED
00643K,群益深証中小+R,TWSE,,,LISTED,,ACTIVE_SEED
00645,富邦日本,TWSE,,,LISTED,,ACTIVE_SEED
00646,元大S&P500,TWSE,,,LISTED,,ACTIVE_SEED
00647L,元大S&P500正2,TWSE,,,LISTED,,ACTIVE_SEED
00648R,元大S&P500反1,TWSE,,,LISTED,,ACTIVE_SEED
00650L,復華香港正2,TWSE,,,LISTED,,ACTIVE_SEED
00651R,復華香港反1,TWSE,,,LISTED,,ACTIVE_SEED
